0.126	-0.236
0.121	-0.236
0.120	-0.235
0.121	-0.235
0.120	-0.235
0.120	-0.235
0.121	-0.235
0.121	-0.235
0.120	-0.235
0.120	-0.235
0.340	-0.215
0.558	-0.192
0.763	-0.172
0.968	-0.148
1.171	-0.127
1.377	-0.100
1.585	-0.075
1.790	-0.045
1.993	-0.016
2.192	0.012
2.237	0.020
2.238	0.020
2.239	0.019
2.296	0.035
2.314	0.042
2.520	0.116
2.711	0.186
2.907	0.258
3.104	0.329
3.298	0.404
3.487	0.477
3.676	0.554
3.866	0.628
4.056	0.707
4.246	0.782
4.436	0.864
4.625	0.943
4.815	1.025
5.004	1.104
5.194	1.187
5.384	1.270
5.532	1.341
5.533	1.340
5.533	1.339
5.533	1.338
5.534	1.338
5.535	1.339
5.536	1.340
5.537	1.339
5.537	1.337
5.538	1.339
5.539	1.340
5.540	1.340
5.541	1.338
5.541	1.337
5.541	1.336
5.542	1.336
5.540	1.340
5.542	1.338
5.552	1.293
5.559	1.274
5.623	1.080
5.682	0.880
5.746	0.683
5.811	0.485
5.873	0.307
5.886	0.293
5.883	0.293
5.882	0.293
5.879	0.293
5.879	0.293
5.879	0.236
5.880	0.221
5.900	0.020
5.919	-0.188
5.940	-0.395
5.960	-0.599
5.980	-0.801
6.000	-1.019
6.023	-1.237
6.042	-1.455
6.056	-1.646
6.074	-1.850
6.092	-2.041
6.114	-2.245
6.136	-2.452
6.159	-2.655
6.183	-2.858
6.214	-3.057
6.246	-3.261
6.264	-3.386
6.267	-3.407
6.298	-3.615
6.335	-3.819
6.370	-4.021
6.406	-4.225
6.445	-4.424
6.481	-4.626
6.519	-4.828
6.555	-5.033
6.593	-5.239
6.636	-5.410
6.635	-5.411
6.634	-5.411
6.633	-5.411
6.632	-5.412
6.632	-5.413
6.631	-5.412
6.630	-5.416
6.601	-5.463
6.590	-5.480
6.490	-5.654
6.390	-5.830
6.288	-6.011
6.188	-6.190
6.086	-6.371
5.987	-6.552
5.888	-6.736
5.789	-6.918
5.691	-7.102
5.593	-7.285
5.497	-7.470
5.400	-7.654
5.370	-7.712
5.281	-7.896
5.201	-8.069
5.115	-8.257
5.029	-8.448
4.944	-8.637
4.872	-8.803
4.873	-8.807
4.872	-8.805
4.871	-8.805
4.872	-8.807
4.872	-8.806
4.871	-8.808
4.869	-8.808
4.870	-8.807
4.869	-8.806
4.815	-8.816
4.604	-8.869
4.407	-8.918
4.211	-8.969
4.013	-9.020
3.817	-9.073
3.622	-9.126
3.425	-9.179
3.229	-9.237
3.031	-9.291
2.836	-9.352
2.639	-9.410
2.483	-9.462
2.483	-9.463
2.482	-9.463
2.482	-9.461
2.482	-9.462
2.477	-9.461
2.420	-9.455
2.202	-9.427
2.001	-9.401
1.799	-9.379
1.597	-9.358
1.393	-9.339
1.192	-9.322
0.991	-9.308
0.790	-9.295
0.589	-9.282
0.387	-9.275
0.185	-9.263
0.127	-9.265
0.127	-9.264
0.126	-9.263
0.125	-9.264
0.124	-9.264
0.124	-9.263
0.124	-9.265
0.124	-9.265
0.124	-9.266
0.124	-9.268
0.124	-9.266
0.124	-9.266
0.080	-9.264
-0.137	-9.267
-0.342	-9.266
-0.548	-9.271
-0.753	-9.277
-0.957	-9.282
-1.162	-9.287
-1.368	-9.298
-1.577	-9.306
-1.784	-9.315
-1.990	-9.328
-2.196	-9.341
-2.402	-9.354
-2.610	-9.369
-2.818	-9.384
-3.024	-9.401
-3.231	-9.418
-3.437	-9.438
-3.641	-9.457
-3.846	-9.475
-4.048	-9.497
-4.252	-9.515
-4.456	-9.537
-4.642	-9.561
-4.691	-9.566
-4.905	-9.600
-5.121	-9.635
-5.321	-9.671
-5.523	-9.705
-5.728	-9.742
-5.912	-9.777
-6.114	-9.817
-6.314	-9.857
-6.516	-9.900
-6.721	-9.946
-6.921	-9.989
-7.127	-10.034
-7.313	-10.080
-7.449	-10.113
-7.451	-10.111
-7.451	-10.112
-7.451	-10.111
-7.452	-10.111
-7.454	-10.111
-7.454	-10.111
-7.453	-10.110
-7.454	-10.111
-7.455	-10.111
-7.456	-10.112
-7.455	-10.111
-7.455	-10.112
-7.455	-10.112
